Age_Bracket,Gender,total_runners,bq_qualifiers,bq_quality_pct
35-39,F,36800,3492,9.49
40-44,F,57918,7081,12.23
45-49,F,43065,7394,17.17
50-54,F,35303,4957,14.04
55-59,F,19491,3194,16.39
60-64,F,10624,2014,18.96
65-69,F,3785,761,20.11
70-74,F,1215,203,16.71
75-79,F,333,38,11.41
Under 35,F,140225,14382,10.26
35-39,M,71871,6900,9.6
40-44,M,106288,12424,11.69
45-49,M,72770,11879,16.32
50-54,M,71576,9572,13.37
55-59,M,39015,6060,15.53
60-64,M,25886,4537,17.53
65-69,M,10575,2113,19.98
70-74,M,4303,742,17.24
75-79,M,1193,159,13.33
Under 35,M,219027,20531,9.37
