Detroit Free Press Marathon,2023,1313,13335,8571
Boston Marathon,2023,26598,13351,7554
Boston Marathon,2024,25501,13986,7577
Rotterdam Marathon,2023,9881,14107,8322
Mainova Frankfurt Marathon,2023,9678,14162,7493
Run in Lyon Marathon,2023,2822,14305,8716
Amsterdam Marathon,2023,8711,14354,9076
Vienna City Marathon,2024,7460,14405,7595
Taipei Marathon,2023,8084,14478,8054
Amsterdam Marathon,2022,7809,14494,8230
Melbourne Marathon,2022,6208,14511,7752
Rimi Riga Marathon,2023,1292,14514,8743
RnR Madrid Marathon,2024,9102,14529,8691
RnR Madrid Marathon,2023,7387,14611,8842
Melbourne Marathon,2023,7930,14627,8074
Haspa Marathon Hamburg,2023,8632,14639,7449
Carmel Marathon,2024,1441,14640,9205
Mainova Frankfurt Marathon,2022,7909,14651,7571
White Nights Marathon,2023,3325,14667,8015
Gold Coast Marathon,2023,5957,14671,7660
