F,35-39,36800,8591,17481,45791
F,40-44,57918,7823,17847,49332
F,45-49,43065,9086,17532,61661
F,50-54,35303,9335,18472,57163
F,55-59,19491,9927,18707,49647
F,60-64,10624,10183,19607,57365
F,65-69,3785,11658,20556,61661
F,70+,1629,12500,22531,49213
F,Under 35,140225,8024,17101,60290
M,35-39,71871,7449,15184,61179
M,40-44,106288,7835,16266,53709
M,45-49,72770,8326,15371,54687
M,50-54,71576,8738,16699,60289
M,55-59,39015,9340,16480,50885
M,60-64,25886,9856,17825,58087
M,65-69,10575,10336,18467,59843
M,70+,5960,10558,20636,50057
M,Under 35,219027,7235,15366,57505
